min_confidence,risk_percent,atr_min_non_jpy,atr_max_non_jpy,atr_min_jpy,atr_max_jpy,score,total_pnl,win_rate,pf,trades
0.6,0.5,0.0007,0.0035,0.05,0.35,0.5132952742268736,83.60782682453035,46.470588235294116,1.104559450867956,170
0.6,1.0,0.0005,0.0025,0.06,0.3,0.3314290181708695,-549.674440857322,41.509433962264154,0.7984426346843674,212
0.65,1.5,0.0005,0.0035,0.04,0.3,0.25781091413448015,-1237.1839182302485,38.81856540084388,0.6641433331507804,237
0.6,1.5,0.0007,0.003,0.03,0.4,0.25551775706892677,-1694.2002847324388,37.80487804878049,0.675885679988774,1640
0.5,1.0,0.0007,0.0035,0.05,0.3,0.24877261369699052,-2283.0427851983695,36.87943262411347,0.6745565102168398,846
0.5,2.0,0.0007,0.003,0.03,0.35,0.22058332973206665,-4243.57696832061,36.87392055267703,0.5982095921071036,3474
0.5,1.5,0.0005,0.0025,0.06,0.25,0.2087016816408504,-6487.567066427232,35.22920203735144,0.5924110384889681,1178
0.5,0.5,0.0005,0.0035,0.03,0.4,0.20171903451357553,-4726.947526799825,36.339393939393936,0.5550974098522342,4125
0.65,0.5,0.0005,0.004,0.06,0.25,0.1999648289208905,-269.140244077936,33.70786516853933,0.5932289924653085,89
0.55,2.0,0.0005,0.0035,0.04,0.25,0.19861723988264568,-8837.056746483326,35.31728665207877,0.5623796693083586,2285
0.55,1.0,0.0005,0.004,0.05,0.4,0.19803262879574893,-5821.236989030382,35.00687757909216,0.5656963502338289,1454
0.6,0.5,0.0003,0.0025,0.04,0.4,0.19585329894665235,-5222.683769146979,38.02747791952895,0.5150309977461646,2038
0.6,2.0,0.0003,0.004,0.04,0.35,0.18615080233590198,-10927.015149908217,38.02747791952895,0.48951656149750744,2038
0.65,2.0,0.0003,0.0025,0.05,0.25,0.18504321747625532,-5787.889809692066,36.96883852691218,0.500538358384047,706
0.65,1.0,0.0003,0.003,0.06,0.4,0.17477206736119627,-3975.3000686256914,36.62374821173104,0.47720966830264144,699
0.5,1.0,0.0003,0.0025,0.04,0.35,0.1738729576723238,-15148.751632752494,36.29530201342282,0.47905086340932407,7450
0.55,0.5,0.0003,0.004,0.04,0.3,0.17095651919461002,-12279.660634285014,36.12842048225413,0.4731912353560597,7382
0.55,1.5,0.0003,0.003,0.06,0.35,0.1686064390892748,-15054.418656743128,36.11022108298622,0.4669216472028631,6242
0.65,1.5,0.0002,0.0025,0.03,0.35,0.15341740392881534,-14714.106408240632,37.75372124492557,0.4063636613024894,2956
0.5,2.0,0.0002,0.0035,0.06,0.4,0.14127984811690056,-19263.203788951883,36.63164842417908,0.38567701480681227,18181
0.55,1.0,0.0002,0.003,0.05,0.25,0.13738579103864929,-18919.3835451531,36.49382716049382,0.376463094524039,18225
0.6,1.5,0.0002,0.004,0.03,0.25,0.13696232810858497,-16489.020549159686,37.77873687239246,0.3625381350657937,6951
0.5,0.5,0.0002,0.0025,0.03,0.25,0.1362270218743555,-18774.38199367208,36.65626772546795,0.37163363955820317,21156
0.65,0.5,0.0002,0.003,0.05,0.3,0.13424654763176808,-9002.19536724806,37.70961145194274,0.35600087739660835,2445
0.55,2.0,0.0002,0.0025,0.03,0.3,0.13080384929853867,-20554.809419793673,36.540488739817924,0.35796962167066637,20870
